Service Name,Category,Price,Service Time,Notes
,ANTI-PIMPLE THERAPY,1599,,
,LIGHTENING THERAPY,649,,
,LIGHTENING THERAPY,799,,
,LIGHTENING THERAPY,2199,,
,LIGHTENING THERAPY,549,,
,IPL-HAIR REMOVAL,699,,
,LIGHTENING THERAPY,549,,
,LIGHTENING THERAPY,999,,
,LIGHTENING THERAPY,999,,
,FACIAL,999,,
,ULTRASHAPE,399,,
,FACIAL,699,,with diamond peel and Charcoal Mask
,FACIAL,649,,
,LIGHTENING THERAPY,549,,
,FACIAL,699,,with diamond peel and collagen mask
,,499,,
,CAUTERIZATION,1500,,
,,699,,
,,800,,
,ULTRASHAPE,899,,
,INFUSION,799,,
,ANTI-AGING THERAPY,999,,
,LIGHTENING THERAPY,1099,,
,LIGHTENING THERAPY,999,,
,WHITENING INFUSION,3500,,
,LIGHTENING THERAPY,649,,
,LIGHTENING THERAPY,1299,,
,,1000,,
,IPL-HAIR REMOVAL,999,,
,IPL-HAIR REMOVAL,999,,
,IPL-HAIR REMOVAL,499,,
,IPL-HAIR REMOVAL,699,,
,IPL-HAIR REMOVAL,999,,
,IPL-HAIR REMOVAL,499,,
,IPL-HAIR REMOVAL,999,,
,IPL-HAIR REMOVAL,999,,
,IPL-HAIR REMOVAL,499,,
,IPL-HAIR REMOVAL,999,,
,IPL-HAIR REMOVAL,499,,
,,299,,
,,1500,,
,,499,,
,,699,,
,WHITENING INFUSION,3599,,
,LIGHTENING THERAPY,2000,,
,,999,,
,,5999,,
,,9999,,
,IPL-HAIR REMOVAL,300,,
,FACIAL,499,,
,LIGHTENING THERAPY,449,,
,ANTI-AGING THERAPY,349,,
,LIGHTENING THERAPY,1999,,
,ANTI-PIMPLE THERAPY,999,,
,FACIAL,99,,
,ANTI-AGING THERAPY,499,,
,FACE LIFT,1899,,
,CAUTERIZATION,999,,
,,99,,
,ANTI-AGING THERAPY,499,,
,FACIAL,999,,
,FACIAL,1100,,
,ULTRASHAPE,799,,"with diamond peel, Vit C infusion and Vit ..."
,ULTRASHAPE,999,,
,ULTRASHAPE,999,,
,LIGHTENING THERAPY,549,,
,LIGHTENING THERAPY,299,,
,INFUSION,349,,
,ULTRASHAPE,999,,
,CAUTERIZATION,1500,,
